Product Title,Product ID,Main Category,Subcategory,Colors,Patterns,Season,Brands,Gender,Hue,Saturation,Value
"Accessories_Bags_Blue, Yellow, Green",recoXe6qjQ62aJBhu,Accessories,Bags,"Blue, Yellow, Green",Single-coloured,"Spring, Winter, Summer, Autumn",Temu,Women,105.0,23.0,22.0
Accessories_Bracelets_Gold,recN8rawqK2g3juTj,Accessories,Bracelets,Gold,Single-coloured,"Spring, Winter, Summer, Autumn",Swarovski,Women,12.0,19.0,67.0
Accessories_Bracelets_Gold,recI20t6VwCeECtg6,Accessories,Bracelets,Gold,Single-coloured,"Spring, Winter, Summer, Autumn",Bruna The Label,Women,30.0,36.0,14.0
"Accessories_Bracelets_Beige, Black",recfRaFdflrZ6oYJK,Accessories,Bracelets,"Beige, Black",Single-coloured,"Spring, Winter, Summer, Autumn",Temu,Women,15.0,61.0,42.0
"Accessories_Necklaces_White, Gold",reccwBDnyxSH0cT0x,Accessories,Necklaces,"White, Gold",Single-coloured,"Spring, Winter, Summer, Autumn",Swarovski,Women,0.0,4.0,69.0
"Accessories_Necklaces_White, Gold",recPD8ELYz6poTeqg,Accessories,Necklaces,"White, Gold",Single-coloured,"Spring, Winter, Summer, Autumn",Bruna The Label,Women,0.0,0.0,11.0
"Accessories_Necklaces_White, Blue",recw8lMPJT5QnxX6G,Accessories,Necklaces,"White, Blue",Floral,"Spring, Winter, Summer, Autumn",My Spirituals,Women,30.0,8.0,68.0
Accessories_Eyewear_Brown,recJZu3Tfy3i4qs5a,Accessories,Eyewear,Brown,Floral,"Spring, Winter, Summer, Autumn",Isabel Bernard,Women,8.0,64.0,16.0
Accessories_Eyewear_Black,recvXRToxetrZjz7w,Accessories,Eyewear,Black,Single-coloured,"Spring, Winter, Summer, Autumn",Chimi,Women,0.0,0.0,3.0
"Accessories_Eyewear_Beige, Black",recBzxdsv2vFSAhPu,Accessories,Eyewear,"Beige, Black",Single-coloured,"Spring, Winter, Summer, Autumn",Kapten & Son,Women,12.0,75.0,17.0
Accessories_Caps_White,recn4Rs2aM1LQHHh9,Accessories,Caps,White,Single-coloured,"Spring, Winter, Summer, Autumn",bpc,Women,8.0,14.0,73.0
Accessories_Caps_Beige,recWSOJqSVbBLGg4K,Accessories,Caps,Beige,Single-coloured,"Spring, Winter, Summer, Autumn",Seeberger,Women,17.0,35.0,103.0
"Accessories_Caps_Black, Red, Beige",recbxEBPq7kUWJ7P1,Accessories,Caps,"Black, Red, Beige",Single-coloured,"Spring, Winter, Summer, Autumn",Temu,Women,11.0,117.0,24.0
Accessories_Belts_Black,reccCE5mPkTbxdCvW,Accessories,Belts,Black,Single-coloured,"Spring, Winter, Summer, Autumn",Hermes,Women,12.0,67.0,19.0
Accessories_Belts_Black,reccRU8WLD0NPd1L1,Accessories,Belts,Black,Single-coloured,"Spring, Winter, Summer, Autumn",Celine,Women,0.0,20.0,13.0
Accessories_Belts_Beige,rec39n6D8MP7EoV68,Accessories,Belts,Beige,Single-coloured,"Spring, Winter, Summer, Autumn",Anna Field,Women,15.0,49.0,31.0
Accessories_Socks_Black,rec8IH1UVNDPfhceU,Accessories,Socks,Black,Single-coloured,"Spring, Winter, Summer, Autumn",COS,Women,0.0,0.0,8.0
Accessories_Socks_White,recEclRwQBggzV0gs,Accessories,Socks,White,Single-coloured,"Spring, Winter, Summer, Autumn",Monki,Women,0.0,0.0,87.0
Accessories_Socks_Red,recjsrlzg8QAi4IIw,Accessories,Socks,Red,Single-coloured,"Spring, Winter, Summer, Autumn",Manufactum,Women,2.0,89.0,46.0
"Accessories_Jewellery_Gold, Red",recZoQKFpgG6nk05p,Accessories,Jewellery,"Gold, Red",Single-coloured,"Spring, Winter, Summer, Autumn",Elli,Women,13.0,69.0,26.0
Accessories_Jewellery_Silver,recQyAvMWlCpmS4M4,Accessories,Jewellery,Silver,Single-coloured,"Spring, Winter, Summer, Autumn",JJ's House,Women,8.0,12.0,86.0
"Accessories_Jewellery_Silver, White",recFJk78KhUWMAyLr,Accessories,Jewellery,"Silver, White",Single-coloured,"Spring, Winter, Summer, Autumn",JJ's House,Women,17.0,46.0,39.0
Accessories_Jewellery_Gold,recK03FtnXnYTbP3E,Accessories,Jewellery,Gold,Single-coloured,"Spring, Summer, Autumn, Winter",Saint Laurent,Women,17.0,80.0,51.0
Accessories_Bags_Orange,recyDWOkxNjmioCmU,Accessories,Bags,Orange,Single-coloured,"Spring, Summer, Autumn",ZARA,Women,13.0,196.0,52.0
Accessories_Belts_Pink,recN5HtdqfaiNozVb,Accessories,Belts,Pink,Single-coloured,"Spring, Summer, Autumn, Winter",Ferragamo,Women,18.0,46.0,28.0
Accessories_Jewellery_Gold,recAw7j8Gc2m36X2E,Accessories,Jewellery,Gold,Single-coloured,"Spring, Summer, Autumn, Winter",Tory Burch Miller,Women,15.0,4.0,124.0
"Accessories_Bags_Pink, Green, Orange",rec47EGNIQoekDSXJ,Accessories,Bags,"Pink, Green, Orange",Geometric,"Spring, Summer",ZARA,Women,7.0,123.0,27.0
"Accessories_Bags_Brown, White",rec9Mun8Plu1fYCm4,Accessories,Bags,"Brown, White",Single-coloured,"Summer, Winter, Autumn, Spring",Paul Marius,Men,5.0,122.0,23.0
"Accessories_Jewellery_Silver, Black",recZvhsEqWNbBYl1C,Accessories,Jewellery,"Silver, Black",N.a.,"Winter, Autumn, Spring, Summer",Twisted Pendant,Any,0.0,0.0,13.0
Accessories_Jewellery_Gold,recL1uh4TYvSMsQu7,Accessories,Jewellery,Gold,N.a.,"Winter, Autumn, Spring, Summer",Missoma,Any,18.0,17.0,76.0
Accessories_Socks_Green,rec0HfAXPuOgpa4cJ,Accessories,Socks,Green,Single-coloured,"Winter, Autumn, Spring, Summer",Represent,Any,80.0,153.0,5.0
"Accessories_Socks_White, Blue, Yellow",recD68M2z6hYkVAfy,Accessories,Socks,"White, Blue, Yellow",Horizontal stripes,"Winter, Autumn, Spring, Summer",Thunders Love,Any,20.0,21.0,36.0
Accessories_Socks_Green,rec7xU9fmEQxHxrb8,Accessories,Socks,Green,Single-coloured,"Winter, Autumn, Spring, Summer",Charles Tyrwhitt,Any,81.0,182.0,14.0
Accessories_Belts_Brown,rectCbNROxMEcDl51,Accessories,Belts,Brown,N.a.,"Winter, Autumn, Spring, Summer",Aspinal of London,Any,11.0,145.0,30.0
Accessories_Bags_Black,recbT32ZChcX6RN7W,Accessories,Bags,Black,N.a.,"Winter, Autumn, Spring, Summer",Osprey,Any,0.0,13.0,20.0
Accessories_Bags_Black,recVuQfrcQv33mgU9,Accessories,Bags,Black,N.a.,"Winter, Autumn, Spring, Summer",The Kooples,Any,0.0,43.0,6.0
Accessories_Eyewear_Green,rec2Vepj5nRZPNrJX,Accessories,Eyewear,Green,N.a.,"Summer, Spring",Moscot,Any,30.0,20.0,25.0
Accessories_Eyewear_Brown,recH1vTJav7Wfzeo9,Accessories,Eyewear,Brown,N.a.,"Summer, Spring",Dood,Any,109.0,60.0,34.0
Accessories_Bags_Black,recFGV2hdM261sQu2,Accessories,Bags,Black,Single-coloured,"Spring, Summer, Winter, Autumn",Fjallraven,Men,0.0,23.0,22.0
"Accessories_Socks_Beige, Red, Blue",recmlsqgdLtbHdrVz,Accessories,Socks,"Beige, Red, Blue",Other,"Spring, Autumn, Winter",Urban Outfitters,Men,8.0,16.0,62.0
"Accessories_Eyewear_Black, Blue",recHqLccEjU7C6v7s,Accessories,Eyewear,"Black, Blue",Other,"Spring, Summer, Autumn, Winter",Ray Ban,Men,105.0,73.0,14.0
Accessories_Eyewear_Brown,rec1Y5Ssg5Xh1Lk4J,Accessories,Eyewear,Brown,Single-coloured,"Spring, Summer, Winter, Autumn",Gucci,Men,,,
"Accessories_headband_Green, White",recG8ElpanrM7o723,Accessories,headband,"Green, White",Other,"Spring, Summer",Supreme,Men,77.0,81.0,22.0
"Accessories_Scarves_Black, White",recxuQWEJdTHSPqQu,Accessories,Scarves,"Black, White",Floral,"Spring, Summer",ZARA,Men,150.0,11.0,23.0
Accessories_Hats_Green,recfst0IdCXj1Pdbt,Accessories,Hats,Green,Single-coloured,"Spring, Summer, Autumn",ZARA,Men,34.0,113.0,18.0
Accessories_Belts_Black,recbgv6rRD3dLTFzE,Accessories,Belts,Black,Single-coloured,"Winter, Autumn, Spring, Summer",ZARA,Men,0.0,0.0,4.0
Accessories_Bags_Black,recbJzTDCXC6U9Y0O,Accessories,Bags,Black,Single-coloured,"Summer, Spring, Autumn, Winter",Urban Outfitters,Men,0.0,0.0,8.0
"Accessories_Caps_White, Black",rec3l9UOXp7eH4Mdv,Accessories,Caps,"White, Black",Other,"Spring, Summer, Autumn, Winter",47 Brand,Men,0.0,0.0,11.0
Accessories_Jewellery_Silver,rec0cQ30F6CkJXbxq,Accessories,Jewellery,Silver,Single-coloured,"Summer, Winter, Autumn, Spring",Missoma,Men,0.0,0.0,14.0
Accessories_Eyewear_Black,recwtINm6AuzGUFEV,Accessories,Eyewear,Black,Single-coloured,"Summer, Winter, Autumn, Spring",Mia Burton,Men,0.0,0.0,33.0
Accessories_Eyewear_Red,recin21LyDyVQbZUE,Accessories,Eyewear,Red,Single-coloured,"Spring, Summer",French Kiwis Eyeware,Men,11.0,131.0,39.0
Accessories_Caps_Green,recgcuZxxOcvMD08Q,Accessories,Caps,Green,Single-coloured,"Summer, Spring",Marks & Spencer,Men,26.0,53.0,106.0
Accessories_Caps_Green,reclH4ViYdj5ujSgs,Accessories,Caps,Green,Single-coloured,"Summer, Spring",Beams Plus,Men,21.0,48.0,37.0
"Accessories_Belts_Brown, Grey",recAab2harBJWjzqq,Accessories,Belts,"Brown, Grey",Single-coloured,"Summer, Winter, Spring, Autumn",John Henric,Men,8.0,60.0,17.0
"Accessories_Socks_Green, Red, Yellow",rec7QrfTxmraPZwbw,Accessories,Socks,"Green, Red, Yellow",Single-coloured,"Summer, Winter, Spring, Autumn",Blacksocks,Men,23.0,68.0,30.0
Accessories_Bracelets_Brown,recA0D4wRhPWwLaWf,Accessories,Bracelets,Brown,Single-coloured,"Summer, Winter, Spring, Autumn",Harbour UK Bracelets,Men,150.0,12.0,21.0
Accessories_Necklaces_Brown,recPyYiKPqGir8R3s,Accessories,Necklaces,Brown,Single-coloured,"Summer, Winter, Spring, Autumn",FOSSIL,Men,0.0,0.0,2.0
Accessories_Scarves_Black,recgLD8k378fIEC0T,Accessories,Scarves,Black,Single-coloured,"Summer, Spring",BOSS,Any,110.0,77.0,10.0
Accessories_Hats_Brown,recctYtZdSjrSK51B,Accessories,Hats,Brown,Single-coloured,"Winter, Autumn",Carhartt,Any,176.0,57.0,72.0
Accessories_Eyewear_Black,recwpNhcmxSKUwBkh,Accessories,Eyewear,Black,N.a.,"Summer, Winter, Spring, Autumn",Fatface,Any,105.0,32.0,16.0
Accessories_Bags_Black,reczrKeH2WmXSJc4b,Accessories,Bags,Black,Single-coloured,"Spring, Winter, Autumn",Maverick & Co,Men,0.0,12.0,21.0
Accessories_Bags_Black,recfMVG2DNVuuUm7y,Accessories,Bags,Black,Single-coloured,"Spring, Winter, Autumn",Madaleine,Men,0.0,12.0,22.0
Accessories_Caps_Black,rec9WhUtjxdgF8OSK,Accessories,Caps,Black,Single-coloured,"Spring, Winter, Autumn",Ted Baker,Men,110.0,77.0,10.0
Accessories_Caps_Green,recPYAJcidFL4KwSO,Accessories,Caps,Green,Single-coloured,"Spring, Winter, Autumn",Polo Club,Men,40.0,32.0,24.0
Accessories_Eyewear_Green,rec5jZ1A6LjsCuIsg,Accessories,Eyewear,Green,Single-coloured,"Spring, Winter, Autumn",Vallon,Men,90.0,58.0,22.0
Accessories_Eyewear_Black,rechCkKiHhKw8kHoH,Accessories,Eyewear,Black,Single-coloured,"Spring, Winter, Autumn",Chimi,Men,0.0,0.0,3.0
"Accessories_Socks_Black, Red, Green",recm8Jw2nOAlekogh,Accessories,Socks,"Black, Red, Green",Single-coloured,"Spring, Winter, Autumn",Next,Men,8.0,74.0,38.0
Accessories_Socks_Black,rec8cpTaSrCE0D2mH,Accessories,Socks,Black,Single-coloured,"Spring, Winter, Autumn",Burlington,Men,0.0,0.0,14.0
Accessories_Belts_Black,reczRWoiKpPlE2Ipe,Accessories,Belts,Black,Single-coloured,"Spring, Winter, Autumn",Luca Falloni,Men,10.0,59.0,13.0
Accessories_Belts_Black,recr90AP39gbkRzHU,Accessories,Belts,Black,Single-coloured,"Spring, Winter, Autumn",Calvin Klein,Men,0.0,0.0,25.0
Accessories_Bags_Blue,recbFQzRZSNWwsuCu,Accessories,Bags,Blue,N.a.,"Winter, Autumn, Spring, Summer",Aspinal of London,Any,99.0,58.0,31.0
Accessories_Bags_Black,recu425fFUr1S3HKq,Accessories,Bags,Black,N.a.,"Winter, Autumn, Spring, Summer",Maverick & Co,Any,0.0,0.0,14.0
"Accessories_Jewellery_Gold, Brown",recCwMY3k1oYOvpZS,Accessories,Jewellery,"Gold, Brown",N.a.,"Winter, Autumn, Spring, Summer",Nordgreen,Any,10.0,37.0,62.0
Accessories_Jewellery_Gold,recLIiAqbw11AGzYW,Accessories,Jewellery,Gold,N.a.,"Winter, Autumn, Spring, Summer",Britannia,Any,24.0,71.0,18.0
Accessories_Eyewear_Black,recmRT5XEPXKg80zO,Accessories,Eyewear,Black,N.a.,"Summer, Spring",Burberry,Any,0.0,0.0,5.0
"Accessories_Eyewear_Gold, Green",recN5pT9J4USA0fIc,Accessories,Eyewear,"Gold, Green",N.a.,"Summer, Spring",Loro Piana,Any,38.0,59.0,52.0
"Accessories_Belts_Brown, Silver",recHfTR7Y6ru9IWAG,Accessories,Belts,"Brown, Silver",N.a.,"Winter, Autumn, Spring, Summer",John Henric,Any,8.0,73.0,14.0
Accessories_Bags_Brown,recC5WWyOJKk8Tsgc,Accessories,Bags,Brown,N.a.,"Winter, Autumn, Spring, Summer",John Henric,Any,10.0,35.0,22.0
Accessories_Socks_Beige,rec71d9tGTavZVqYQ,Accessories,Socks,Beige,N.a.,"Winter, Autumn, Spring, Summer",Polo Club,Any,20.0,30.0,51.0
Accessories_Socks_Blue,reczuEHHQfCfnvkQu,Accessories,Socks,Blue,Single-coloured,"Winter, Autumn, Spring, Summer",Polo Ralph Lauren,Any,120.0,119.0,15.0
